customer_id,month,kwh
E001,2026-01,415
E001,2026-02,450
E001,2026-03,485
E001,2026-04,380
E001,2026-05,415
E001,2026-06,450
E001,2026-07,485
E001,2026-08,380
E001,2026-09,415
E001,2026-10,450
E001,2026-11,485
E001,2026-12,380
E002,2026-01,1285
E002,2026-02,1320
E002,2026-03,1355
E002,2026-04,1250
E002,2026-05,1285
E002,2026-06,1320
E002,2026-07,1355
E002,2026-08,1250
E002,2026-09,1285
E002,2026-10,1320
E002,2026-11,1355
E002,2026-12,1250
E003,2026-01,6435
E003,2026-02,6470
E003,2026-03,6505
E003,2026-04,6400
E003,2026-05,6435
E003,2026-06,6470
E003,2026-07,6505
E003,2026-08,6400
E003,2026-09,6435
E003,2026-10,6470
E003,2026-11,6505
E003,2026-12,6400
