timestamp,customer_id,consumption_kwh,production_kwh
2026-01-15 00:00,C001,0.42,0.00
2026-01-15 06:00,C001,0.88,0.00
2026-01-15 12:00,C001,0.74,1.65
2026-01-15 18:00,C001,1.92,0.10
2026-01-16 00:00,C001,0.39,0.00
2026-01-16 06:00,C001,0.95,0.00
2026-01-16 12:00,C001,0.81,1.48
2026-01-16 18:00,C001,2.18,0.05
2026-01-17 00:00,C001,0.44,0.00
2026-01-17 06:00,C001,1.04,0.00
2026-01-17 12:00,C001,0.92,1.72
2026-01-17 18:00,C001,2.35,0.03
2026-01-15 00:00,C002,0.31,0.00
2026-01-15 06:00,C002,0.55,0.00
2026-01-15 12:00,C002,0.48,0.92
2026-01-15 18:00,C002,1.18,0.02
2026-01-16 00:00,C002,0.29,0.00
2026-01-16 06:00,C002,0.62,0.00
2026-01-16 12:00,C002,0.44,1.05
2026-01-16 18:00,C002,1.25,0.01
2026-01-17 00:00,C002,0.33,0.00
2026-01-17 06:00,C002,0.58,0.00
2026-01-17 12:00,C002,0.51,0.76
2026-01-17 18:00,C002,1.36,0.00
2026-01-15 00:00,C003,3.20,0.00
2026-01-15 06:00,C003,8.75,0.00
2026-01-15 12:00,C003,5.40,2.85
2026-01-15 18:00,C003,4.10,0.15
2026-01-16 00:00,C003,3.05,0.00
2026-01-16 06:00,C003,9.10,0.00
2026-01-16 12:00,C003,5.25,3.20
2026-01-16 18:00,C003,4.35,0.10
2026-01-17 00:00,C003,2.85,0.00
2026-01-17 06:00,C003,7.95,0.00
2026-01-17 12:00,C003,4.80,2.40
2026-01-17 18:00,C003,3.70,0.08
2026-01-15 00:00,C004,0.52,0.00
2026-01-15 06:00,C004,1.15,0.00
2026-01-15 12:00,C004,0.86,0.35
2026-01-15 18:00,C004,2.65,0.00
2026-01-16 00:00,C004,0.49,0.00
2026-01-16 06:00,C004,1.28,0.00
2026-01-16 12:00,C004,0.93,0.42
2026-01-16 18:00,C004,3.10,0.00
2026-01-17 00:00,C004,0.57,0.00
2026-01-17 06:00,C004,1.32,0.00
2026-01-17 12:00,C004,1.05,0.28
2026-01-17 18:00,C004,2.88,0.00
2026-01-15 00:00,C005,6.40,0.00
2026-01-15 06:00,C005,10.80,0.00
2026-01-15 12:00,C005,14.60,6.20
2026-01-15 18:00,C005,9.30,0.25
2026-01-16 00:00,C005,6.10,0.00
2026-01-16 06:00,C005,11.20,0.00
2026-01-16 12:00,C005,15.30,7.10
2026-01-16 18:00,C005,8.95,0.18
2026-01-17 00:00,C005,5.85,0.00
2026-01-17 06:00,C005,9.70,0.00
2026-01-17 12:00,C005,12.40,5.60
2026-01-17 18:00,C005,7.60,0.12
